server_threads,mem_kb,proc_count,run_id,rank,metric,time_ms
16,1048576,32,2,21.0,mem_protect,39.700837
16,1048576,32,2,11.0,mem_protect,45.871726
16,1048576,32,2,29.0,mem_protect,49.26215
16,1048576,32,2,7.0,mem_protect,49.783171
16,1048576,32,2,2.0,mem_protect,49.904901
16,1048576,32,2,19.0,mem_protect,50.495703
16,1048576,32,2,0.0,mem_protect,51.054445
16,1048576,32,2,13.0,mem_protect,52.062573
16,1048576,32,2,28.0,mem_protect,52.824708
16,1048576,32,2,14.0,mem_protect,54.953076
16,1048576,32,2,1.0,mem_protect,55.555781
16,1048576,32,2,23.0,mem_protect,58.828393
16,1048576,32,2,22.0,mem_protect,59.121445
16,1048576,32,2,30.0,mem_protect,60.661686
16,1048576,32,2,8.0,mem_protect,62.076389
16,1048576,32,2,10.0,mem_protect,62.882707
16,1048576,32,2,16.0,mem_protect,63.134061
16,1048576,32,2,26.0,mem_protect,67.405383
16,1048576,32,2,3.0,mem_protect,68.702316
16,1048576,32,2,17.0,mem_protect,70.227147
16,1048576,32,2,5.0,mem_protect,70.268435
16,1048576,32,2,12.0,mem_protect,65.852149
16,1048576,32,2,20.0,mem_protect,71.454538
16,1048576,32,2,18.0,mem_protect,72.879852
16,1048576,32,2,15.0,mem_protect,78.066769
16,1048576,32,2,9.0,mem_protect,79.853664
16,1048576,32,2,24.0,mem_protect,80.028223
16,1048576,32,2,6.0,mem_protect,80.123622
16,1048576,32,2,25.0,mem_protect,80.365848
16,1048576,32,2,31.0,mem_protect,81.651499
16,1048576,32,2,4.0,mem_protect,82.747573
16,1048576,32,2,27.0,mem_protect,84.681865
16,1048576,32,2,,wait_timer,1.189531
16,1048576,32,2,,wait_timer,2.332812
16,1048576,32,2,,wait_timer,2.387515
16,1048576,32,2,,wait_timer,3.916475
16,1048576,32,2,,wait_timer,3.933567
16,1048576,32,2,,wait_timer,3.935902
16,1048576,32,2,,wait_timer,3.936342
16,1048576,32,2,,wait_timer,3.939157
16,1048576,32,2,11.0,ckpt_start,4.825847
16,1048576,32,2,,wait_timer,5.219198
16,1048576,32,2,,wait_timer,5.230819
16,1048576,32,2,,wait_timer,5.23645
16,1048576,32,2,29.0,ckpt_start,5.39538
16,1048576,32,2,,wait_timer,6.390323
16,1048576,32,2,,wait_timer,6.431751
16,1048576,32,2,1.0,ckpt_start,6.469242
16,1048576,32,2,,wait_timer,6.639923
16,1048576,32,2,,wait_timer,6.640023
16,1048576,32,2,,wait_timer,6.6381
16,1048576,32,2,23.0,ckpt_start,7.329581
16,1048576,32,2,13.0,ckpt_start,7.507457
16,1048576,32,2,,wait_timer,7.787814
16,1048576,32,2,,wait_timer,7.797753
16,1048576,32,2,,wait_timer,7.802692
16,1048576,32,2,14.0,ckpt_start,8.137913
16,1048576,32,2,17.0,ckpt_start,8.77882
16,1048576,32,2,,wait_timer,9.209411
16,1048576,32,2,,wait_timer,10.352805
16,1048576,32,2,,wait_timer,11.48698
16,1048576,32,2,,wait_timer,11.50281
16,1048576,32,2,3.0,ckpt_start,11.661709
16,1048576,32,2,10.0,ckpt_start,12.435646
16,1048576,32,2,8.0,ckpt_start,12.464279
16,1048576,32,2,26.0,ckpt_start,12.482905
16,1048576,32,2,16.0,ckpt_start,12.55484
16,1048576,32,2,30.0,ckpt_start,12.575139
16,1048576,32,2,5.0,ckpt_start,12.611547
16,1048576,32,2,,wait_timer,12.961787
16,1048576,32,2,15.0,ckpt_start,13.13848
16,1048576,32,2,4.0,ckpt_start,13.472188
16,1048576,32,2,22.0,ckpt_start,13.644021
16,1048576,32,2,9.0,ckpt_start,13.733019
16,1048576,32,2,12.0,ckpt_start,14.155425
16,1048576,32,2,18.0,ckpt_start,14.360071
16,1048576,32,2,20.0,ckpt_start,14.622284
16,1048576,32,2,,wait_timer,14.706382
16,1048576,32,2,25.0,ckpt_start,14.736329
16,1048576,32,2,6.0,ckpt_start,14.740285
16,1048576,32,2,21.0,ckpt_start,14.764701
16,1048576,32,2,7.0,ckpt_start,15.264333
16,1048576,32,2,,wait_timer,15.936528
16,1048576,32,2,,wait_timer,16.05398
16,1048576,32,2,,wait_timer,17.053482
16,1048576,32,2,19.0,ckpt_start,17.065233
16,1048576,32,2,,wait_timer,17.154222
16,1048576,32,2,24.0,ckpt_start,18.043195
16,1048576,32,2,31.0,ckpt_start,18.293396
16,1048576,32,2,,wait_timer,18.352748
16,1048576,32,2,,wait_timer,19.843645
16,1048576,32,2,0.0,ckpt_start,20.303331
16,1048576,32,2,2.0,ckpt_start,20.391006
16,1048576,32,2,28.0,ckpt_start,20.397489
16,1048576,32,2,27.0,ckpt_start,21.755565
16,1048576,32,2,,wait_timer,161.129816
16,1048576,32,2,4.0,mem_unprotect,161.188517
16,1048576,32,2,4.0,ckpt_total,174.687014
16,1048576,32,2,,wait_timer,166.130712
16,1048576,32,2,17.0,mem_unprotect,166.186488
16,1048576,32,2,17.0,ckpt_total,174.982079
16,1048576,32,2,,wait_timer,162.597419
16,1048576,32,2,10.0,mem_unprotect,162.661239
16,1048576,32,2,10.0,ckpt_total,175.120961
16,1048576,32,2,,wait_timer,163.156812
16,1048576,32,2,16.0,mem_unprotect,163.217246
16,1048576,32,2,16.0,ckpt_total,175.802314
