MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
16,256,8,0,-1,Total_Execution_Sec,0.544952
16,256,8,0,-1,lib_Wait,1.191986
16,256,8,0,-1,lib_Wait,1.27354
16,256,8,0,-1,lib_Wait,1.515255
16,256,8,0,-1,lib_Wait,1.499345
16,256,8,0,-1,lib_Wait,1.619041
16,256,8,0,-1,lib_Wait,1.619391
16,256,8,0,-1,lib_Wait,1.638277
16,256,8,0,-1,lib_Wait,1.64525
16,256,8,0,-1,lib_Wait,1.622878
16,256,8,0,-1,lib_Wait,1.594835
16,256,8,0,-1,lib_Wait,1.461193
16,256,8,0,-1,lib_Wait,1.614772
16,256,8,0,-1,lib_Wait,1.645321
16,256,8,0,-1,lib_Wait,1.621085
16,256,8,0,-1,lib_Wait,2.038341
16,256,8,0,-1,lib_Wait,1.627627
16,256,8,0,-1,lib_Wait,1.059907
16,256,8,0,-1,lib_Wait,1.072471
16,256,8,0,-1,lib_Wait,1.075587
16,256,8,0,-1,lib_Wait,1.067311
16,256,8,0,-1,lib_Wait,1.073573
16,256,8,0,-1,lib_Wait,1.095244
16,256,8,0,-1,lib_Wait,1.101115
16,256,8,0,-1,lib_Wait,1.106835
16,256,8,0,-1,lib_Wait,1.110342
16,256,8,0,-1,lib_Wait,1.102507
16,256,8,0,-1,lib_Wait,1.11423
16,256,8,0,-1,lib_Wait,1.114571
16,256,8,0,-1,lib_Wait,1.111815
16,256,8,0,-1,lib_Wait,1.116874
16,256,8,0,-1,lib_Wait,1.121734
16,256,8,0,-1,lib_Wait,1.131873
16,256,8,0,-1,lib_Wait,1.080686
16,256,8,0,-1,lib_Wait,1.093651
16,256,8,0,-1,lib_Wait,1.121793
16,256,8,0,-1,lib_Wait,1.142693
16,256,8,0,-1,lib_Wait,1.157381
16,256,8,0,-1,lib_Wait,1.179022
16,256,8,0,-1,lib_Wait,1.262529
16,256,8,0,-1,lib_Wait,1.27888
16,256,8,0,-1,lib_Wait,1.310749
16,256,8,0,-1,lib_Wait,1.320377
16,256,8,0,-1,lib_Wait,1.326699
16,256,8,0,-1,lib_Wait,1.350394
16,256,8,0,-1,lib_Wait,1.3371
16,256,8,0,-1,lib_Wait,1.380541
16,256,8,0,-1,lib_Wait,1.412191
16,256,8,0,-1,lib_Wait,1.416058
16,256,8,0,0,Init,886.776853
16,256,8,0,0,Memory Reg,95.383638
16,256,8,0,0,Restart,514.05785
16,256,8,0,1,Init,882.15799
16,256,8,0,1,Memory Reg,107.021456
16,256,8,0,1,Restart,518.374372
16,256,8,0,2,Init,903.377913
16,256,8,0,2,Memory Reg,97.342319
16,256,8,0,2,Restart,502.653361
16,256,8,0,3,Init,904.012167
16,256,8,0,3,Memory Reg,112.431509
16,256,8,0,3,Restart,510.601207
16,256,8,0,4,Init,894.207093
16,256,8,0,4,Memory Reg,97.200682
16,256,8,0,4,Restart,520.203048
16,256,8,0,5,Init,891.285057
16,256,8,0,5,Memory Reg,139.741235
16,256,8,0,5,Restart,527.156039
16,256,8,0,6,Init,888.333346
16,256,8,0,6,Memory Reg,99.902642
16,256,8,0,6,Restart,519.049955
