MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
16,256,8,0,-1,Total_Execution_Sec,106.751998
16,256,8,0,-1,lib_Checkpoint Total,29.043185
16,256,8,0,-1,lib_Checkpoint Total,29.075617
16,256,8,0,-1,lib_Checkpoint Total,30.411462
16,256,8,0,-1,lib_Checkpoint Total,30.525055
16,256,8,0,-1,lib_Checkpoint Total,30.538661
16,256,8,0,-1,lib_Checkpoint Total,30.640063
16,256,8,0,-1,lib_Checkpoint Total,30.616709
16,256,8,0,-1,lib_Checkpoint Total,30.651304
16,256,8,0,-1,lib_Checkpoint Total,30.659839
16,256,8,0,-1,lib_Checkpoint Total,30.690016
16,256,8,0,-1,lib_Checkpoint Total,30.754809
16,256,8,0,-1,lib_Checkpoint Total,30.855639
16,256,8,0,-1,lib_Checkpoint Total,30.928165
16,256,8,0,-1,lib_Checkpoint Total,31.653931
16,256,8,0,-1,lib_Checkpoint Total,31.664471
16,256,8,0,-1,lib_Checkpoint Total,32.672479
16,256,8,0,-1,lib_Checkpoint Total,866.896818
16,256,8,0,-1,lib_Checkpoint Total,876.894593
16,256,8,0,-1,lib_Checkpoint Total,883.374493
16,256,8,0,-1,lib_Checkpoint Total,896.055098
16,256,8,0,-1,lib_Checkpoint Total,898.231185
16,256,8,0,-1,lib_Checkpoint Total,902.932186
16,256,8,0,-1,lib_Checkpoint Total,914.848462
16,256,8,0,-1,lib_Checkpoint Total,917.997681
16,256,8,0,-1,lib_Checkpoint Total,930.890786
16,256,8,0,-1,lib_Checkpoint Total,932.465631
16,256,8,0,-1,lib_Checkpoint Total,936.324557
16,256,8,0,-1,lib_Checkpoint Total,936.939746
16,256,8,0,-1,lib_Checkpoint Total,942.806391
16,256,8,0,-1,lib_Checkpoint Total,944.859337
16,256,8,0,-1,lib_Checkpoint Total,945.717653
16,256,8,0,-1,lib_Checkpoint Total,956.746427
16,256,8,0,-1,lib_Checkpoint Total,856.031872
16,256,8,0,-1,lib_Checkpoint Total,866.255751
16,256,8,0,-1,lib_Checkpoint Total,879.905441
16,256,8,0,-1,lib_Checkpoint Total,881.780452
16,256,8,0,-1,lib_Checkpoint Total,883.288962
16,256,8,0,-1,lib_Checkpoint Total,886.416941
16,256,8,0,-1,lib_Checkpoint Total,887.541138
16,256,8,0,-1,lib_Checkpoint Total,899.30155
16,256,8,0,-1,lib_Checkpoint Total,903.820809
16,256,8,0,-1,lib_Checkpoint Total,904.695656
16,256,8,0,-1,lib_Checkpoint Total,907.101837
16,256,8,0,-1,lib_Checkpoint Total,910.320647
16,256,8,0,-1,lib_Checkpoint Total,922.829629
16,256,8,0,-1,lib_Checkpoint Total,924.255072
16,256,8,0,-1,lib_Checkpoint Total,925.424765
16,256,8,0,-1,lib_Checkpoint Total,933.35142
16,256,8,0,-1,lib_Memory Copy,26.37898
16,256,8,0,-1,lib_Memory Copy,26.396322
16,256,8,0,-1,lib_Memory Copy,26.565471
16,256,8,0,-1,lib_Memory Copy,27.933937
16,256,8,0,-1,lib_Memory Copy,27.960807
16,256,8,0,-1,lib_Memory Copy,28.034967
16,256,8,0,-1,lib_Memory Copy,28.013517
16,256,8,0,-1,lib_Memory Copy,28.117873
16,256,8,0,-1,lib_Memory Copy,28.086865
16,256,8,0,-1,lib_Memory Copy,28.07333
16,256,8,0,-1,lib_Memory Copy,28.108806
16,256,8,0,-1,lib_Memory Copy,28.278986
16,256,8,0,-1,lib_Memory Copy,28.277895
16,256,8,0,-1,lib_Memory Copy,26.647244
16,256,8,0,-1,lib_Memory Copy,26.671941
16,256,8,0,-1,lib_Memory Copy,27.655052
16,256,8,0,-1,lib_Memory Copy,16.708429
16,256,8,0,-1,lib_Memory Copy,15.931265
16,256,8,0,-1,lib_Memory Copy,15.859951
16,256,8,0,-1,lib_Memory Copy,15.92304
16,256,8,0,-1,lib_Memory Copy,16.000666
16,256,8,0,-1,lib_Memory Copy,15.910576
16,256,8,0,-1,lib_Memory Copy,15.665465
16,256,8,0,-1,lib_Memory Copy,20.331139
16,256,8,0,-1,lib_Memory Copy,20.395711
16,256,8,0,-1,lib_Memory Copy,15.29112
16,256,8,0,-1,lib_Memory Copy,24.048318
16,256,8,0,-1,lib_Memory Copy,20.236391
16,256,8,0,-1,lib_Memory Copy,25.224793
16,256,8,0,-1,lib_Memory Copy,18.125346
16,256,8,0,-1,lib_Memory Copy,18.179828
16,256,8,0,-1,lib_Memory Copy,15.213203
16,256,8,0,-1,lib_Memory Copy,16.08276
16,256,8,0,-1,lib_Memory Copy,15.696072
16,256,8,0,-1,lib_Memory Copy,15.700331
16,256,8,0,-1,lib_Memory Copy,15.960951
16,256,8,0,-1,lib_Memory Copy,15.318481
16,256,8,0,-1,lib_Memory Copy,15.926436
16,256,8,0,-1,lib_Memory Copy,15.967032
16,256,8,0,-1,lib_Memory Copy,15.637602
16,256,8,0,-1,lib_Memory Copy,22.71075
16,256,8,0,-1,lib_Memory Copy,16.912663
16,256,8,0,-1,lib_Memory Copy,15.688509
16,256,8,0,-1,lib_Memory Copy,22.415734
16,256,8,0,-1,lib_Memory Copy,15.340082
16,256,8,0,-1,lib_Memory Copy,26.968747
16,256,8,0,-1,lib_Memory Copy,26.780712
16,256,8,0,-1,lib_Memory Copy,15.681675
16,256,8,0,-1,lib_Wait,852.75387
16,256,8,0,-1,lib_Wait,879.367319
16,256,8,0,-1,lib_Wait,858.63303
16,256,8,0,-1,lib_Wait,862.088315
16,256,8,0,-1,lib_Wait,885.337709
16,256,8,0,-1,lib_Wait,891.187884
16,256,8,0,-1,lib_Wait,908.264586
16,256,8,0,-1,lib_Wait,873.132199
16,256,8,0,-1,lib_Wait,855.311817
16,256,8,0,-1,lib_Wait,873.713714
16,256,8,0,-1,lib_Wait,866.473062
16,256,8,0,-1,lib_Wait,895.535189
16,256,8,0,-1,lib_Wait,910.085084
16,256,8,0,-1,lib_Wait,924.616994
16,256,8,0,-1,lib_Wait,881.762909
16,256,8,0,-1,lib_Wait,893.097309
16,256,8,0,-1,lib_Wait,1.062941
16,256,8,0,-1,lib_Wait,1.065967
16,256,8,0,-1,lib_Wait,1.069895
16,256,8,0,-1,lib_Wait,1.070546
16,256,8,0,-1,lib_Wait,1.10459
16,256,8,0,-1,lib_Wait,1.105081
16,256,8,0,-1,lib_Wait,1.111773
16,256,8,0,-1,lib_Wait,1.11009
16,256,8,0,-1,lib_Wait,1.11548
16,256,8,0,-1,lib_Wait,1.118616
16,256,8,0,-1,lib_Wait,1.117403
16,256,8,0,-1,lib_Wait,1.1204
16,256,8,0,-1,lib_Wait,1.124707
16,256,8,0,-1,lib_Wait,1.126641
16,256,8,0,-1,lib_Wait,1.130849
16,256,8,0,-1,lib_Wait,1.134877
16,256,8,0,-1,lib_Wait,1.085975
16,256,8,0,-1,lib_Wait,1.109288
16,256,8,0,-1,lib_Wait,1.13124
16,256,8,0,-1,lib_Wait,1.150817
16,256,8,0,-1,lib_Wait,1.170504
16,256,8,0,-1,lib_Wait,1.18959
16,256,8,0,-1,lib_Wait,1.206822
16,256,8,0,-1,lib_Wait,1.297403
16,256,8,0,-1,lib_Wait,1.32261
16,256,8,0,-1,lib_Wait,1.342097
