Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_veloc_p16_i0_m256_test.log,16,0,256,,105.327204
heatdis_veloc_p16_i1_m256_test.log,16,1,256,,106.62261
heatdis_veloc_p16_i2_m256_test.log,16,2,256,,106.068783
heatdis_veloc_p16_i3_m256_test.log,16,3,256,,106.988049
heatdis_veloc_p16_i4_m256_test.log,16,4,256,,105.800344
heatdis_veloc_p16_i5_m256_test.log,16,5,256,,106.206249
heatdis_veloc_p16_i6_m256_test.log,16,6,256,,105.506279
heatdis_veloc_p16_i7_m256_test.log,16,7,256,,106.861564
heatdis_veloc_p16_i8_m256_test.log,16,8,256,,105.885228
heatdis_veloc_p16_i9_m256_test.log,16,9,256,,104.763116
heatdis_veloc_p32_i0_m128_test.log,32,0,128,,55.463398
heatdis_veloc_p32_i1_m128_test.log,32,1,128,,55.4127
heatdis_veloc_p32_i2_m128_test.log,32,2,128,,55.299529
heatdis_veloc_p32_i4_m128_test.log,32,4,128,,55.597966
heatdis_veloc_p32_i5_m128_test.log,32,5,128,,55.751998
heatdis_veloc_p32_i6_m128_test.log,32,6,128,,55.334246
heatdis_veloc_p32_i7_m128_test.log,32,7,128,,55.449033
heatdis_veloc_p32_i8_m128_test.log,32,8,128,,55.290961
heatdis_veloc_p32_i9_m128_test.log,32,9,128,,55.661871
heatdis_veloc_p64_i0_m128_test.log,64,0,128,,72.044614
heatdis_veloc_p64_i1_m128_test.log,64,1,128,,72.08347
heatdis_veloc_p64_i2_m128_test.log,64,2,128,,72.243603
heatdis_veloc_p64_i3_m128_test.log,64,3,128,,72.17377
heatdis_veloc_p64_i4_m128_test.log,64,4,128,,72.125891
heatdis_veloc_p64_i5_m128_test.log,64,5,128,,78.054349
heatdis_veloc_p64_i6_m128_test.log,64,6,128,,71.954934
heatdis_veloc_p64_i7_m128_test.log,64,7,128,,72.055266
heatdis_veloc_p64_i8_m128_test.log,64,8,128,,72.058127
heatdis_veloc_p64_i9_m128_test.log,64,9,128,,72.039165
