Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_orig_p64_i0_m64_test.log,64,0,64,,35.212467
heatdis_orig_p64_i1_m64_test.log,64,1,64,,35.208545
heatdis_orig_p64_i2_m64_test.log,64,2,64,,35.149015
heatdis_orig_p64_i3_m64_test.log,64,3,64,,35.170798
heatdis_orig_p64_i4_m64_test.log,64,4,64,,35.156796
heatdis_orig_p64_i5_m64_test.log,64,5,64,,35.220065
heatdis_orig_p64_i6_m64_test.log,64,6,64,,35.168928
heatdis_orig_p64_i7_m64_test.log,64,7,64,,35.188112
heatdis_orig_p64_i8_m64_test.log,64,8,64,,35.171657
heatdis_orig_p64_i9_m64_test.log,64,9,64,,35.150247
heatdis_orig_p64_i0_m128_test.log,64,0,128,,70.037501
heatdis_orig_p64_i1_m128_test.log,64,1,128,,70.011671
heatdis_orig_p64_i2_m128_test.log,64,2,128,,70.008134
heatdis_orig_p64_i3_m128_test.log,64,3,128,,69.989552
heatdis_orig_p64_i4_m128_test.log,64,4,128,,69.984739
heatdis_orig_p64_i5_m128_test.log,64,5,128,,69.92713
heatdis_orig_p64_i6_m128_test.log,64,6,128,,70.098546
heatdis_orig_p64_i7_m128_test.log,64,7,128,,69.986374
heatdis_orig_p64_i8_m128_test.log,64,8,128,,70.018212
heatdis_orig_p64_i9_m128_test.log,64,9,128,,70.00885
heatdis_orig_p64_i0_m256_test.log,64,0,256,,138.7897
heatdis_orig_p64_i1_m256_test.log,64,1,256,,138.871939
heatdis_orig_p64_i2_m256_test.log,64,2,256,,138.885609
heatdis_orig_p64_i3_m256_test.log,64,3,256,,138.924991
heatdis_orig_p64_i4_m256_test.log,64,4,256,,138.912554
heatdis_orig_p64_i5_m256_test.log,64,5,256,,138.835908
heatdis_orig_p64_i6_m256_test.log,64,6,256,,138.856881
heatdis_orig_p64_i7_m256_test.log,64,7,256,,138.861147
heatdis_orig_p64_i8_m256_test.log,64,8,256,,138.855148
heatdis_orig_p64_i9_m256_test.log,64,9,256,,138.812308
heatdis_orig_p128_i0_m64_test.log,128,0,64,,54.174234
heatdis_orig_p128_i1_m64_test.log,128,1,64,,54.183747
heatdis_orig_p128_i2_m64_test.log,128,2,64,,54.05842
heatdis_orig_p128_i3_m64_test.log,128,3,64,,54.171051
heatdis_orig_p128_i4_m64_test.log,128,4,64,,54.209795
heatdis_orig_p128_i5_m64_test.log,128,5,64,,53.953132
heatdis_orig_p128_i6_m64_test.log,128,6,64,,54.025375
heatdis_orig_p128_i7_m64_test.log,128,7,64,,54.208004
heatdis_orig_p128_i8_m64_test.log,128,8,64,,57.650251
heatdis_orig_p128_i9_m64_test.log,128,9,64,,54.234851
heatdis_orig_p128_i0_m128_test.log,128,0,128,,105.726832
heatdis_orig_p128_i1_m128_test.log,128,1,128,,105.744686
heatdis_orig_p128_i2_m128_test.log,128,2,128,,105.814236
heatdis_orig_p128_i3_m128_test.log,128,3,128,,105.646782
heatdis_orig_p128_i4_m128_test.log,128,4,128,,105.73362
heatdis_orig_p128_i5_m128_test.log,128,5,128,,105.744275
heatdis_orig_p128_i6_m128_test.log,128,6,128,,105.655431
heatdis_orig_p128_i7_m128_test.log,128,7,128,,105.517174
heatdis_orig_p128_i8_m128_test.log,128,8,128,,105.641552
heatdis_orig_p128_i9_m128_test.log,128,9,128,,105.718983
heatdis_orig_p128_i0_m256_test.log,128,0,256,,208.729268
heatdis_orig_p128_i1_m256_test.log,128,1,256,,208.679313
heatdis_orig_p128_i2_m256_test.log,128,2,256,,208.708365
heatdis_orig_p128_i3_m256_test.log,128,3,256,,208.689541
heatdis_orig_p128_i4_m256_test.log,128,4,256,,208.676196
heatdis_orig_p128_i5_m256_test.log,128,5,256,,208.830614
heatdis_orig_p128_i6_m256_test.log,128,6,256,,208.644343
heatdis_orig_p128_i7_m256_test.log,128,7,256,,208.824138
heatdis_orig_p128_i8_m256_test.log,128,8,256,,208.594245
heatdis_orig_p128_i9_m256_test.log,128,9,256,,208.761133
heatdis_orig_p128_i0_m512_test.log,128,0,512,,415.02036
heatdis_orig_p128_i1_m512_test.log,128,1,512,,414.981245
heatdis_orig_p128_i2_m512_test.log,128,2,512,,414.991404
heatdis_orig_p128_i3_m512_test.log,128,3,512,,414.969344
heatdis_orig_p128_i4_m512_test.log,128,4,512,,414.966018
heatdis_orig_p128_i5_m512_test.log,128,5,512,,414.993026
heatdis_orig_p128_i6_m512_test.log,128,6,512,,414.939445
heatdis_orig_p128_i7_m512_test.log,128,7,512,,415.038729
heatdis_orig_p128_i8_m512_test.log,128,8,512,,414.882656
heatdis_orig_p128_i9_m512_test.log,128,9,512,,414.882545
