MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
64,64,,0,-1,Total_Execution_Sec,36.305317
64,64,,0,0,Checkpoint,253.059492
64,64,,0,0,Checkpoint,284.511633
64,64,,0,0,Checkpoint,275.712406
64,64,,0,0,Initialization,103.760507
64,64,,0,0,Memory Reg,0.021149
64,64,,0,1,Checkpoint,287.803211
64,64,,0,1,Checkpoint,234.96237
64,64,,0,1,Checkpoint,249.059549
64,64,,0,1,Initialization,131.193677
64,64,,0,1,Memory Reg,0.014637
64,64,,0,2,Checkpoint,291.118223
64,64,,0,2,Checkpoint,275.507179
64,64,,0,2,Checkpoint,286.598448
64,64,,0,2,Initialization,108.531385
64,64,,0,2,Memory Reg,0.011642
64,64,,0,3,Checkpoint,271.312178
64,64,,0,3,Checkpoint,298.580788
64,64,,0,3,Checkpoint,267.468518
64,64,,0,3,Initialization,110.177229
64,64,,0,3,Memory Reg,0.026811
64,64,,0,4,Checkpoint,262.917965
64,64,,0,4,Checkpoint,281.583189
64,64,,0,4,Checkpoint,277.014884
64,64,,0,4,Initialization,104.919674
64,64,,0,4,Memory Reg,0.026029
64,64,,0,5,Checkpoint,294.357572
64,64,,0,5,Checkpoint,275.017356
64,64,,0,5,Checkpoint,271.299945
64,64,,0,5,Initialization,119.361891
64,64,,0,5,Memory Reg,0.020619
64,64,,0,6,Checkpoint,281.353255
64,64,,0,6,Checkpoint,270.950325
64,64,,0,6,Checkpoint,291.566619
64,64,,0,6,Initialization,141.567242
64,64,,0,6,Memory Reg,0.008867
64,64,,0,7,Checkpoint,282.303077
64,64,,0,7,Checkpoint,273.481339
64,64,,0,7,Checkpoint,266.066464
64,64,,0,7,Initialization,120.21424
64,64,,0,7,Memory Reg,0.009788
64,64,,0,8,Checkpoint,255.343159
64,64,,0,8,Checkpoint,277.834629
64,64,,0,8,Checkpoint,298.452555
64,64,,0,8,Initialization,105.22537
64,64,,0,8,Memory Reg,0.017994
64,64,,0,9,Checkpoint,280.558096
64,64,,0,9,Checkpoint,242.750549
64,64,,0,9,Checkpoint,232.964723
64,64,,0,9,Initialization,126.242039
64,64,,0,9,Memory Reg,0.011662
64,64,,0,10,Checkpoint,292.656944
64,64,,0,10,Checkpoint,297.865799
64,64,,0,10,Checkpoint,287.856361
64,64,,0,10,Initialization,118.106344
64,64,,0,10,Memory Reg,0.012423
64,64,,0,11,Checkpoint,271.109155
64,64,,0,11,Checkpoint,291.376741
64,64,,0,11,Checkpoint,282.741444
64,64,,0,11,Initialization,110.431689
64,64,,0,11,Memory Reg,0.008096
64,64,,0,12,Checkpoint,258.655506
64,64,,0,12,Checkpoint,274.944708
64,64,,0,12,Checkpoint,271.326955
64,64,,0,12,Initialization,104.986479
64,64,,0,12,Memory Reg,0.012594
64,64,,0,13,Checkpoint,271.604739
64,64,,0,13,Checkpoint,274.848918
64,64,,0,13,Checkpoint,297.743518
64,64,,0,13,Initialization,129.58882
64,64,,0,13,Memory Reg,0.014337
64,64,,0,14,Checkpoint,284.251462
64,64,,0,14,Checkpoint,294.967562
64,64,,0,14,Checkpoint,287.92481
64,64,,0,14,Initialization,131.941217
64,64,,0,14,Memory Reg,0.009457
64,64,,0,15,Checkpoint,295.08781
64,64,,0,15,Checkpoint,260.533489
64,64,,0,15,Checkpoint,232.975043
64,64,,0,15,Initialization,116.77841
64,64,,0,15,Memory Reg,0.020158
64,64,,0,16,Checkpoint,258.936897
64,64,,0,16,Checkpoint,286.402859
64,64,,0,16,Checkpoint,266.065001
64,64,,0,16,Initialization,105.546766
64,64,,0,16,Memory Reg,0.01058
64,64,,0,17,Checkpoint,271.270689
64,64,,0,17,Checkpoint,236.429908
64,64,,0,17,Checkpoint,257.446206
64,64,,0,17,Initialization,131.896843
64,64,,0,17,Memory Reg,0.009327
64,64,,0,18,Checkpoint,280.538969
64,64,,0,18,Checkpoint,291.266392
64,64,,0,18,Checkpoint,299.898082
64,64,,0,18,Initialization,108.708058
64,64,,0,18,Memory Reg,0.029886
64,64,,0,19,Checkpoint,271.252785
64,64,,0,19,Checkpoint,300.235639
64,64,,0,19,Checkpoint,271.412827
64,64,,0,19,Initialization,109.984706
64,64,,0,19,Memory Reg,0.008606
64,64,,0,20,Checkpoint,260.600254
64,64,,0,20,Checkpoint,281.823413
64,64,,0,20,Checkpoint,282.783563
64,64,,0,20,Initialization,105.027968
64,64,,0,20,Memory Reg,0.013686
64,64,,0,21,Checkpoint,267.966738
64,64,,0,21,Checkpoint,264.101628
64,64,,0,21,Checkpoint,249.18778
64,64,,0,21,Initialization,129.666237
64,64,,0,21,Memory Reg,0.008737
64,64,,0,22,Checkpoint,284.219542
64,64,,0,22,Checkpoint,279.672836
64,64,,0,22,Checkpoint,275.709301
64,64,,0,22,Initialization,134.069121
64,64,,0,22,Memory Reg,0.02126
64,64,,0,23,Checkpoint,279.088214
64,64,,0,23,Checkpoint,253.176403
64,64,,0,23,Checkpoint,257.717407
64,64,,0,23,Initialization,121.242068
64,64,,0,23,Memory Reg,0.01036
64,64,,0,24,Checkpoint,290.967368
64,64,,0,24,Checkpoint,280.360233
64,64,,0,24,Checkpoint,206.668086
64,64,,0,24,Initialization,112.740213
64,64,,0,24,Memory Reg,0.008716
64,64,,0,25,Checkpoint,260.794351
64,64,,0,25,Checkpoint,282.658678
64,64,,0,25,Checkpoint,183.535166
64,64,,0,25,Initialization,112.524677
64,64,,0,25,Memory Reg,0.01611
64,64,,0,26,Checkpoint,213.760964
64,64,,0,26,Checkpoint,300.612229
64,64,,0,26,Checkpoint,300.556464
64,64,,0,26,Initialization,137.949119
64,64,,0,26,Memory Reg,0.012574
64,64,,0,27,Checkpoint,221.326102
64,64,,0,27,Checkpoint,300.023739
64,64,,0,27,Checkpoint,283.392431
64,64,,0,27,Initialization,136.679734
64,64,,0,27,Memory Reg,0.012844
64,64,,0,28,Checkpoint,279.105596
64,64,,0,28,Checkpoint,214.356036
64,64,,0,28,Checkpoint,228.106811
64,64,,0,28,Initialization,111.819356
64,64,,0,28,Memory Reg,0.011642
64,64,,0,29,Checkpoint,271.007222
64,64,,0,29,Checkpoint,265.286563
64,64,,0,29,Checkpoint,261.669561
64,64,,0,29,Initialization,129.603769
64,64,,0,29,Memory Reg,0.015028
64,64,,0,30,Checkpoint,278.393293
64,64,,0,30,Checkpoint,283.391069
64,64,,0,30,Checkpoint,271.439428
64,64,,0,30,Initialization,134.898395
64,64,,0,30,Memory Reg,0.019938
64,64,,0,31,Checkpoint,277.062142
64,64,,0,31,Checkpoint,209.524133
64,64,,0,31,Checkpoint,254.620777
64,64,,0,31,Initialization,120.183471
64,64,,0,31,Memory Reg,0.022493
64,64,,0,32,Checkpoint,249.850029
64,64,,0,32,Checkpoint,272.837264
64,64,,0,32,Checkpoint,283.324343
64,64,,0,32,Initialization,108.378337
64,64,,0,32,Memory Reg,0.007995
64,64,,0,33,Checkpoint,243.470987
64,64,,0,33,Checkpoint,232.588864
64,64,,0,33,Checkpoint,264.342142
64,64,,0,33,Initialization,108.506708
64,64,,0,33,Memory Reg,0.01554
64,64,,0,34,Checkpoint,260.686077
64,64,,0,34,Checkpoint,292.753547
64,64,,0,34,Checkpoint,267.194742
64,64,,0,34,Initialization,124.779079
64,64,,0,34,Memory Reg,0.013405
64,64,,0,35,Checkpoint,255.71483
64,64,,0,35,Checkpoint,286.474515
64,64,,0,35,Checkpoint,284.288622
64,64,,0,35,Initialization,112.921626
64,64,,0,35,Memory Reg,0.016872
64,64,,0,36,Checkpoint,296.044134
64,64,,0,36,Checkpoint,297.837155
64,64,,0,36,Checkpoint,288.991402
64,64,,0,36,Initialization,109.526342
