MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
64,64,16,0,-1,Total_Execution_Sec,0.7104
64,64,16,0,-1,lib_Mem DeReg Wait,1.061952
64,64,16,0,-1,lib_Mem DeReg Wait,1.068855
64,64,16,0,-1,lib_Mem DeReg Wait,1.062724
64,64,16,0,-1,lib_Mem DeReg Wait,1.059588
64,64,16,0,-1,lib_Mem DeReg Wait,1.058496
64,64,16,0,-1,lib_Mem DeReg Wait,1.065369
64,64,16,0,-1,lib_Mem DeReg Wait,1.061101
64,64,16,0,-1,lib_Mem DeReg Wait,1.06653
64,64,16,0,-1,lib_Mem DeReg Wait,1.067473
64,64,16,0,-1,lib_Mem DeReg Wait,1.067152
64,64,16,0,-1,lib_Mem DeReg Wait,1.06615
64,64,16,0,-1,lib_Mem DeReg Wait,1.069767
64,64,16,0,-1,lib_Mem DeReg Wait,1.06623
64,64,16,0,-1,lib_Mem DeReg Wait,1.067773
64,64,16,0,-1,lib_Mem DeReg Wait,1.068274
64,64,16,0,-1,lib_Mem DeReg Wait,1.071961
64,64,16,0,-1,lib_Mem DeReg Wait,1.056391
64,64,16,0,-1,lib_Mem DeReg Wait,1.061751
64,64,16,0,-1,lib_Mem DeReg Wait,1.064998
64,64,16,0,-1,lib_Mem DeReg Wait,1.059648
64,64,16,0,-1,lib_Mem DeReg Wait,1.057323
64,64,16,0,-1,lib_Mem DeReg Wait,1.068254
64,64,16,0,-1,lib_Mem DeReg Wait,1.067643
64,64,16,0,-1,lib_Mem DeReg Wait,1.069306
64,64,16,0,-1,lib_Mem DeReg Wait,1.062274
64,64,16,0,-1,lib_Mem DeReg Wait,1.067854
64,64,16,0,-1,lib_Mem DeReg Wait,1.068054
64,64,16,0,-1,lib_Mem DeReg Wait,1.06595
64,64,16,0,-1,lib_Mem DeReg Wait,1.066211
64,64,16,0,-1,lib_Mem DeReg Wait,1.067473
64,64,16,0,-1,lib_Mem DeReg Wait,1.073284
64,64,16,0,-1,lib_Mem DeReg Wait,1.056692
64,64,16,0,-1,lib_Mem DeReg Wait,1.055951
64,64,16,0,-1,lib_Mem DeReg Wait,1.063616
64,64,16,0,-1,lib_Mem DeReg Wait,1.019242
64,64,16,0,-1,lib_Mem DeReg Wait,1.068404
64,64,16,0,-1,lib_Mem DeReg Wait,1.063365
