Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_aurora_p64_i0_m64_b16_restore_test.log,64,0,64,16,0.7104
heatdis_aurora_p64_i1_m64_b16_restore_test.log,64,1,64,16,1.187502
heatdis_aurora_p64_i2_m64_b16_restore_test.log,64,2,64,16,1.216013
heatdis_aurora_p64_i3_m64_b16_restore_test.log,64,3,64,16,0.209081
heatdis_aurora_p64_i4_m64_b16_restore_test.log,64,4,64,16,1.082356
heatdis_aurora_p64_i5_m64_b16_restore_test.log,64,5,64,16,0.525739
heatdis_aurora_p64_i6_m64_b16_restore_test.log,64,6,64,16,0.507439
heatdis_aurora_p64_i7_m64_b16_restore_test.log,64,7,64,16,0.937041
heatdis_aurora_p64_i8_m64_b16_restore_test.log,64,8,64,16,1.000166
heatdis_aurora_p64_i9_m64_b16_restore_test.log,64,9,64,16,0.948402
heatdis_aurora_p64_i0_m128_b16_restore_test.log,64,0,128,16,0.509625
heatdis_aurora_p64_i1_m128_b16_restore_test.log,64,1,128,16,1.178257
heatdis_aurora_p64_i2_m128_b16_restore_test.log,64,2,128,16,1.232935
heatdis_aurora_p64_i3_m128_b16_restore_test.log,64,3,128,16,0.262194
heatdis_aurora_p64_i4_m128_b16_restore_test.log,64,4,128,16,0.328138
heatdis_aurora_p64_i5_m128_b16_restore_test.log,64,5,128,16,0.150705
heatdis_aurora_p64_i6_m128_b16_restore_test.log,64,6,128,16,0.836332
heatdis_aurora_p64_i7_m128_b16_restore_test.log,64,7,128,16,1.281826
heatdis_aurora_p64_i8_m128_b16_restore_test.log,64,8,128,16,0.606755
heatdis_aurora_p64_i9_m128_b16_restore_test.log,64,9,128,16,0.962643
heatdis_aurora_p64_i0_m256_b16_restore_test.log,64,0,256,16,1.26813
heatdis_aurora_p64_i1_m256_b16_restore_test.log,64,1,256,16,0.355813
heatdis_aurora_p64_i2_m256_b16_restore_test.log,64,2,256,16,2.268893
heatdis_aurora_p64_i3_m256_b16_restore_test.log,64,3,256,16,1.262486
heatdis_aurora_p64_i4_m256_b16_restore_test.log,64,4,256,16,2.42604
heatdis_aurora_p64_i5_m256_b16_restore_test.log,64,5,256,16,1.667299
heatdis_aurora_p64_i6_m256_b16_restore_test.log,64,6,256,16,1.4059
heatdis_aurora_p64_i7_m256_b16_restore_test.log,64,7,256,16,1.093594
heatdis_aurora_p64_i8_m256_b16_restore_test.log,64,8,256,16,1.02941
heatdis_aurora_p64_i9_m256_b16_restore_test.log,64,9,256,16,2.285084
heatdis_aurora_p64_i0_m512_b16_restore_test.log,64,0,512,16,0.5317
heatdis_aurora_p64_i1_m512_b16_restore_test.log,64,1,512,16,5.688584
heatdis_aurora_p64_i2_m512_b16_restore_test.log,64,2,512,16,5.16026
heatdis_aurora_p64_i3_m512_b16_restore_test.log,64,3,512,16,6.485276
heatdis_aurora_p64_i4_m512_b16_restore_test.log,64,4,512,16,7.463318
heatdis_aurora_p64_i5_m512_b16_restore_test.log,64,5,512,16,5.644916
heatdis_aurora_p64_i6_m512_b16_restore_test.log,64,6,512,16,3.085241
heatdis_aurora_p64_i7_m512_b16_restore_test.log,64,7,512,16,4.107049
heatdis_aurora_p64_i8_m512_b16_restore_test.log,64,8,512,16,6.278461
heatdis_aurora_p64_i9_m512_b16_restore_test.log,64,9,512,16,5.903684
heatdis_aurora_p64_i0_m1024_b16_restore_test.log,64,0,1024,16,15.572776
heatdis_aurora_p64_i1_m1024_b16_restore_test.log,64,1,1024,16,8.736581
heatdis_aurora_p64_i2_m1024_b16_restore_test.log,64,2,1024,16,3.738848
heatdis_aurora_p64_i3_m1024_b16_restore_test.log,64,3,1024,16,4.94569
heatdis_aurora_p64_i4_m1024_b16_restore_test.log,64,4,1024,16,16.193675
heatdis_aurora_p64_i5_m1024_b16_restore_test.log,64,5,1024,16,15.785688
heatdis_aurora_p64_i6_m1024_b16_restore_test.log,64,6,1024,16,4.396294
heatdis_aurora_p64_i7_m1024_b16_restore_test.log,64,7,1024,16,15.697153
heatdis_aurora_p64_i8_m1024_b16_restore_test.log,64,8,1024,16,9.235838
heatdis_aurora_p64_i9_m1024_b16_restore_test.log,64,9,1024,16,4.191735
heatdis_aurora_p128_i0_m64_b16_restore_test.log,128,0,64,16,2.25576
heatdis_aurora_p128_i1_m64_b16_restore_test.log,128,1,64,16,2.519978
heatdis_aurora_p128_i2_m64_b16_restore_test.log,128,2,64,16,1.611776
heatdis_aurora_p128_i3_m64_b16_restore_test.log,128,3,64,16,2.535706
heatdis_aurora_p128_i4_m64_b16_restore_test.log,128,4,64,16,4.906787
heatdis_aurora_p128_i5_m64_b16_restore_test.log,128,5,64,16,0.951547
heatdis_aurora_p128_i6_m64_b16_restore_test.log,128,6,64,16,1.816765
heatdis_aurora_p128_i7_m64_b16_restore_test.log,128,7,64,16,1.159366
heatdis_aurora_p128_i8_m64_b16_restore_test.log,128,8,64,16,1.967601
heatdis_aurora_p128_i9_m64_b16_restore_test.log,128,9,64,16,3.400959
heatdis_aurora_p128_i0_m128_b16_restore_test.log,128,0,128,16,3.010094
heatdis_aurora_p128_i1_m128_b16_restore_test.log,128,1,128,16,2.071795
heatdis_aurora_p128_i2_m128_b16_restore_test.log,128,2,128,16,5.067889
heatdis_aurora_p128_i3_m128_b16_restore_test.log,128,3,128,16,3.007974
heatdis_aurora_p128_i4_m128_b16_restore_test.log,128,4,128,16,1.607488
