Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_aurora_p64_i0_m64_b16_test.log,64,0,64,16,12.923243
heatdis_aurora_p64_i1_m64_b16_test.log,64,1,64,16,35.830878
heatdis_aurora_p64_i2_m64_b16_test.log,64,2,64,16,36.093407
heatdis_aurora_p64_i3_m64_b16_test.log,64,3,64,16,35.69984
heatdis_aurora_p64_i4_m64_b16_test.log,64,4,64,16,35.627391
heatdis_aurora_p64_i5_m64_b16_test.log,64,5,64,16,36.223317
heatdis_aurora_p64_i6_m64_b16_test.log,64,6,64,16,36.378121
heatdis_aurora_p64_i7_m64_b16_test.log,64,7,64,16,36.030791
heatdis_aurora_p64_i8_m64_b16_test.log,64,8,64,16,36.12984
heatdis_aurora_p64_i9_m64_b16_test.log,64,9,64,16,36.176507
heatdis_aurora_p64_i0_m128_b16_test.log,64,0,128,16,24.299196
heatdis_aurora_p64_i1_m128_b16_test.log,64,1,128,16,70.334744
heatdis_aurora_p64_i2_m128_b16_test.log,64,2,128,16,70.361727
heatdis_aurora_p64_i3_m128_b16_test.log,64,3,128,16,71.25409
heatdis_aurora_p64_i4_m128_b16_test.log,64,4,128,16,70.83391
heatdis_aurora_p64_i5_m128_b16_test.log,64,5,128,16,70.482335
heatdis_aurora_p64_i6_m128_b16_test.log,64,6,128,16,70.907471
heatdis_aurora_p64_i7_m128_b16_test.log,64,7,128,16,70.61143
heatdis_aurora_p64_i8_m128_b16_test.log,64,8,128,16,71.077271
heatdis_aurora_p64_i9_m128_b16_test.log,64,9,128,16,71.061724
heatdis_aurora_p64_i0_m256_b16_test.log,64,0,256,16,140.167139
heatdis_aurora_p64_i1_m256_b16_test.log,64,1,256,16,139.720364
heatdis_aurora_p64_i2_m256_b16_test.log,64,2,256,16,140.145013
heatdis_aurora_p64_i3_m256_b16_test.log,64,3,256,16,139.758889
heatdis_aurora_p64_i4_m256_b16_test.log,64,4,256,16,139.705053
heatdis_aurora_p64_i5_m256_b16_test.log,64,5,256,16,139.787148
heatdis_aurora_p64_i6_m256_b16_test.log,64,6,256,16,139.790785
heatdis_aurora_p64_i7_m256_b16_test.log,64,7,256,16,139.848269
heatdis_aurora_p64_i8_m256_b16_test.log,64,8,256,16,139.76632
heatdis_aurora_p64_i9_m256_b16_test.log,64,9,256,16,140.528153
heatdis_aurora_p64_i0_m1024_b16_test.log,64,0,1024,16,554.895832
heatdis_aurora_p64_i1_m1024_b16_test.log,64,1,1024,16,554.597329
heatdis_aurora_p64_i2_m1024_b16_test.log,64,2,1024,16,554.876408
heatdis_aurora_p64_i3_m1024_b16_test.log,64,3,1024,16,555.083661
heatdis_aurora_p64_i4_m1024_b16_test.log,64,4,1024,16,555.035907
heatdis_aurora_p64_i5_m1024_b16_test.log,64,5,1024,16,554.801542
heatdis_aurora_p64_i6_m1024_b16_test.log,64,6,1024,16,555.133165
heatdis_aurora_p64_i7_m1024_b16_test.log,64,7,1024,16,555.961945
heatdis_aurora_p64_i8_m1024_b16_test.log,64,8,1024,16,554.898256
heatdis_aurora_p64_i9_m1024_b16_test.log,64,9,1024,16,554.415953
heatdis_aurora_p128_i0_m64_b16_test.log,128,0,64,16,56.032037
heatdis_aurora_p128_i1_m64_b16_test.log,128,1,64,16,55.893079
heatdis_aurora_p128_i2_m64_b16_test.log,128,2,64,16,55.610554
heatdis_aurora_p128_i3_m64_b16_test.log,128,3,64,16,56.382458
heatdis_aurora_p128_i4_m64_b16_test.log,128,4,64,16,56.36648
heatdis_aurora_p128_i5_m64_b16_test.log,128,5,64,16,56.083789
heatdis_aurora_p128_i6_m64_b16_test.log,128,6,64,16,55.252732
heatdis_aurora_p128_i7_m64_b16_test.log,128,7,64,16,54.569906
heatdis_aurora_p128_i8_m64_b16_test.log,128,8,64,16,56.618589
heatdis_aurora_p128_i9_m64_b16_test.log,128,9,64,16,59.464283
heatdis_aurora_p128_i0_m128_b16_test.log,128,0,128,16,110.749802
heatdis_aurora_p128_i1_m128_b16_test.log,128,1,128,16,107.992272
heatdis_aurora_p128_i2_m128_b16_test.log,128,2,128,16,107.761843
heatdis_aurora_p128_i3_m128_b16_test.log,128,3,128,16,108.105213
heatdis_aurora_p128_i4_m128_b16_test.log,128,4,128,16,107.978872
heatdis_aurora_p128_i5_m128_b16_test.log,128,5,128,16,107.019349
heatdis_aurora_p128_i6_m128_b16_test.log,128,6,128,16,107.91479
heatdis_aurora_p128_i7_m128_b16_test.log,128,7,128,16,106.3377
heatdis_aurora_p128_i8_m128_b16_test.log,128,8,128,16,107.168574
heatdis_aurora_p128_i9_m128_b16_test.log,128,9,128,16,108.228488
heatdis_aurora_p128_i0_m256_b16_test.log,128,0,256,16,213.24953
heatdis_aurora_p128_i1_m256_b16_test.log,128,1,256,16,210.775529
heatdis_aurora_p128_i2_m256_b16_test.log,128,2,256,16,210.247199
heatdis_aurora_p128_i3_m256_b16_test.log,128,3,256,16,211.445966
heatdis_aurora_p128_i4_m256_b16_test.log,128,4,256,16,211.690341
heatdis_aurora_p128_i5_m256_b16_test.log,128,5,256,16,228.261518
heatdis_aurora_p128_i6_m256_b16_test.log,128,6,256,16,211.923101
heatdis_aurora_p128_i7_m256_b16_test.log,128,7,256,16,211.205866
heatdis_aurora_p128_i8_m256_b16_test.log,128,8,256,16,210.374048
heatdis_aurora_p128_i9_m256_b16_test.log,128,9,256,16,215.470855
heatdis_aurora_p128_i1_m512_b8_test.log,128,1,512,8,418.647212
heatdis_aurora_p128_i2_m512_b8_test.log,128,2,512,8,419.017588
heatdis_aurora_p128_i3_m512_b8_test.log,128,3,512,8,418.067012
heatdis_aurora_p128_i4_m512_b8_test.log,128,4,512,8,418.595998
heatdis_aurora_p128_i5_m512_b8_test.log,128,5,512,8,422.762358
heatdis_aurora_p128_i6_m512_b8_test.log,128,6,512,8,418.044617
heatdis_aurora_p128_i7_m512_b8_test.log,128,7,512,8,418.495946
heatdis_aurora_p128_i8_m512_b8_test.log,128,8,512,8,417.450672
heatdis_aurora_p128_i9_m512_b8_test.log,128,9,512,8,418.318919
heatdis_aurora_p128_i0_m512_b16_test.log,128,0,512,16,418.414233
heatdis_aurora_p128_i1_m512_b16_test.log,128,1,512,16,419.652293
heatdis_aurora_p128_i2_m512_b16_test.log,128,2,512,16,419.537982
heatdis_aurora_p128_i3_m512_b16_test.log,128,3,512,16,418.876305
heatdis_aurora_p128_i4_m512_b16_test.log,128,4,512,16,417.866251
heatdis_aurora_p128_i5_m512_b16_test.log,128,5,512,16,417.521544
heatdis_aurora_p128_i6_m512_b16_test.log,128,6,512,16,418.080363
heatdis_aurora_p128_i7_m512_b16_test.log,128,7,512,16,419.40028
heatdis_aurora_p128_i8_m512_b16_test.log,128,8,512,16,419.106132
heatdis_aurora_p128_i9_m512_b16_test.log,128,9,512,16,419.685861
heatdis_aurora_p128_i0_m1024_b8_test.log,128,0,1024,8,836.037993
heatdis_aurora_p128_i1_m1024_b8_test.log,128,1,1024,8,837.14654
heatdis_aurora_p128_i2_m1024_b8_test.log,128,2,1024,8,840.668253
heatdis_aurora_p128_i3_m1024_b8_test.log,128,3,1024,8,837.417876
heatdis_aurora_p128_i4_m1024_b8_test.log,128,4,1024,8,837.526329
heatdis_aurora_p128_i5_m1024_b8_test.log,128,5,1024,8,837.75636
heatdis_aurora_p128_i6_m1024_b8_test.log,128,6,1024,8,835.89877
heatdis_aurora_p128_i7_m1024_b8_test.log,128,7,1024,8,838.257403
heatdis_aurora_p128_i8_m1024_b8_test.log,128,8,1024,8,836.781793
heatdis_aurora_p128_i9_m1024_b8_test.log,128,9,1024,8,837.621496
heatdis_aurora_p128_i0_m1024_b16_test.log,128,0,1024,16,835.286134
heatdis_aurora_p128_i1_m1024_b16_test.log,128,1,1024,16,837.356475
heatdis_aurora_p128_i2_m1024_b16_test.log,128,2,1024,16,835.907015
heatdis_aurora_p128_i3_m1024_b16_test.log,128,3,1024,16,837.509999
heatdis_aurora_p128_i4_m1024_b16_test.log,128,4,1024,16,835.732926
heatdis_aurora_p128_i5_m1024_b16_test.log,128,5,1024,16,837.02182
heatdis_aurora_p128_i6_m1024_b16_test.log,128,6,1024,16,835.693495
heatdis_aurora_p128_i7_m1024_b16_test.log,128,7,1024,16,837.322311
heatdis_aurora_p128_i8_m1024_b16_test.log,128,8,1024,16,837.820416
heatdis_aurora_p128_i9_m1024_b16_test.log,128,9,1024,16,837.007826
