MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Total_Execution_Sec_min,Total_Execution_Sec_mean,Total_Execution_Sec_median,Total_Execution_Sec_max
64,64,,0,35.212467,35.212467,35.212467,35.212467
64,64,,1,35.208545,35.208545,35.208545,35.208545
64,64,,2,35.149015,35.149015,35.149015,35.149015
64,64,,3,35.170798,35.170798,35.170798,35.170798
64,64,,4,35.156796,35.156796,35.156796,35.156796
64,64,,5,35.220065,35.220065,35.220065,35.220065
64,64,,6,35.168928,35.168928,35.168928,35.168928
64,64,,7,35.188112,35.188112,35.188112,35.188112
64,64,,8,35.171657,35.171657,35.171657,35.171657
64,64,,9,35.150247,35.150247,35.150247,35.150247
64,128,,0,70.037501,70.037501,70.037501,70.037501
64,128,,1,70.011671,70.011671,70.011671,70.011671
64,128,,2,70.008134,70.008134,70.008134,70.008134
64,128,,3,69.989552,69.989552,69.989552,69.989552
64,128,,4,69.984739,69.984739,69.984739,69.984739
64,128,,5,69.92713,69.92713,69.92713,69.92713
64,128,,6,70.098546,70.098546,70.098546,70.098546
64,128,,7,69.986374,69.986374,69.986374,69.986374
64,128,,8,70.018212,70.018212,70.018212,70.018212
64,128,,9,70.00885,70.00885,70.00885,70.00885
64,256,,0,138.7897,138.7897,138.7897,138.7897
64,256,,1,138.871939,138.871939,138.871939,138.871939
64,256,,2,138.885609,138.885609,138.885609,138.885609
64,256,,3,138.924991,138.924991,138.924991,138.924991
64,256,,4,138.912554,138.912554,138.912554,138.912554
64,256,,5,138.835908,138.835908,138.835908,138.835908
64,256,,6,138.856881,138.856881,138.856881,138.856881
64,256,,7,138.861147,138.861147,138.861147,138.861147
64,256,,8,138.855148,138.855148,138.855148,138.855148
64,256,,9,138.812308,138.812308,138.812308,138.812308
64,512,,0,282.505,282.505,282.505,282.505
64,512,,1,282.664351,282.664351,282.664351,282.664351
64,512,,2,282.456771,282.456771,282.456771,282.456771
64,512,,3,282.853754,282.853754,282.853754,282.853754
64,512,,4,282.834048,282.834048,282.834048,282.834048
64,512,,5,282.743842,282.743842,282.743842,282.743842
64,512,,6,282.591063,282.591063,282.591063,282.591063
64,512,,7,282.498839,282.498839,282.498839,282.498839
64,512,,8,282.784904,282.784904,282.784904,282.784904
64,512,,9,282.711251,282.711251,282.711251,282.711251
64,1024,,0,552.296803,552.296803,552.296803,552.296803
64,1024,,1,552.362193,552.362193,552.362193,552.362193
64,1024,,2,552.383587,552.383587,552.383587,552.383587
64,1024,,3,552.214408,552.214408,552.214408,552.214408
64,1024,,4,552.502839,552.502839,552.502839,552.502839
64,1024,,5,552.198501,552.198501,552.198501,552.198501
64,1024,,6,552.321323,552.321323,552.321323,552.321323
64,1024,,7,552.443009,552.443009,552.443009,552.443009
64,1024,,8,552.213779,552.213779,552.213779,552.213779
64,1024,,9,552.48757,552.48757,552.48757,552.48757
128,64,,0,54.174234,54.174234,54.174234,54.174234
128,64,,1,54.183747,54.183747,54.183747,54.183747
128,64,,2,54.05842,54.05842,54.05842,54.05842
128,64,,3,54.171051,54.171051,54.171051,54.171051
128,64,,4,54.209795,54.209795,54.209795,54.209795
128,64,,5,53.953132,53.953132,53.953132,53.953132
128,64,,6,54.025375,54.025375,54.025375,54.025375
128,64,,7,54.208004,54.208004,54.208004,54.208004
128,64,,8,57.650251,57.650251,57.650251,57.650251
128,64,,9,54.234851,54.234851,54.234851,54.234851
128,128,,0,105.726832,105.726832,105.726832,105.726832
128,128,,1,105.744686,105.744686,105.744686,105.744686
128,128,,2,105.814236,105.814236,105.814236,105.814236
128,128,,3,105.646782,105.646782,105.646782,105.646782
128,128,,4,105.73362,105.73362,105.73362,105.73362
128,128,,5,105.744275,105.744275,105.744275,105.744275
128,128,,6,105.655431,105.655431,105.655431,105.655431
128,128,,7,105.517174,105.517174,105.517174,105.517174
128,128,,8,105.641552,105.641552,105.641552,105.641552
128,128,,9,105.718983,105.718983,105.718983,105.718983
128,256,,0,208.729268,208.729268,208.729268,208.729268
128,256,,1,208.679313,208.679313,208.679313,208.679313
128,256,,2,208.708365,208.708365,208.708365,208.708365
