metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,32.0038366672454,262.301639917188,-230.297803249942,-87.7988423262053,0.0558569830795141,1.99400064858448,-1.93814366550496,-97.1987479984439,31.9507607083333,258.056765572917,-226.106004864583,-87.6187083731756,31.9566599479167,261.688252714844,-229.731592766927,-87.7882711140499,32.0051158125,262.11511371875,-230.10999790625,-87.7896717368074,32.0217458229167,263.057908165365,-231.036162342448,-87.8271115108286,32.12309278125,265.352581526042,-233.229488744792,-87.8941849382018
Checkpoint_median,31.1867248888889,274.3403793,-243.153654411111,-88.6321055003044,0.0214153841968484,2.56790824960082,-2.54649286540397,-99.1660377974884,31.155382,268.807444,-237.652062,-88.4097770744772,31.1788345,272.948869,-241.7700345,-88.57704206131,31.1836325,274.62805875,-243.44442625,-88.645139669291,31.198531,276.2815935,-245.0830625,-88.7077055677978,31.223799,277.312907,-246.089108,-88.7405893444404
Checkpoint_min,26.0462033333333,165.7204265,-139.674223166667,-84.283045920514,1.95613623707246,8.40613924828114,-6.45000301120868,-76.7296712641009,22.787367,152.843723,-130.056356,-85.0910678222618,24.639889,161.29948925,-136.65960025,-84.7241369984685,25.801518,164.097093,-138.295575,-84.2766757604902,27.804736,170.04811625,-142.24338025,-83.6489009033642,28.241737,179.669808,-151.428071,-84.2813117493842
Checkpoint_max,38.9894785555556,312.9348948,-273.945416244445,-87.5407060051663,0.717307243748645,15.2375405604238,-14.5202333166752,-95.2924998564946,38.056899,300.612229,-262.55533,-87.3402026502388,38.3646,304.83857925,-266.47397925,-87.4147819169119,38.991994,307.48285,-268.490856,-87.318969496998,39.433733,315.065684,-275.631951,-87.4839644548532,40.283616,352.651593,-312.367977,-88.5769363304705
Total_Execution_Sec_mean,36.0211213333333,36.3187088,-0.297587466666663,-0.819377881260643,0.251011160104984,0.0397075387183178,0.211303621386666,532.149884397614,35.627391,36.268685,-0.641293999999995,-1.76817549354214,35.830878,36.29019875,-0.459320750000003,-1.26568816325373,36.093407,36.3051485,-0.211741500000002,-0.583227197101266,36.176507,36.341309,-0.164801999999995,-0.453483940273023,36.378121,36.387318,-0.00919700000000034,-0.0252752895940293
Total_Execution_Sec_median,36.0211213333333,36.3187088,-0.297587466666663,-0.819377881260643,0.251011160104984,0.0397075387183178,0.211303621386666,532.149884397614,35.627391,36.268685,-0.641293999999995,-1.76817549354214,35.830878,36.29019875,-0.459320750000003,-1.26568816325373,36.093407,36.3051485,-0.211741500000002,-0.583227197101266,36.176507,36.341309,-0.164801999999995,-0.453483940273023,36.378121,36.387318,-0.00919700000000034,-0.0252752895940293
Total_Execution_Sec_min,36.0211213333333,36.3187088,-0.297587466666663,-0.819377881260643,0.251011160104984,0.0397075387183178,0.211303621386666,532.149884397614,35.627391,36.268685,-0.641293999999995,-1.76817549354214,35.830878,36.29019875,-0.459320750000003,-1.26568816325373,36.093407,36.3051485,-0.211741500000002,-0.583227197101266,36.176507,36.341309,-0.164801999999995,-0.453483940273023,36.378121,36.387318,-0.00919700000000034,-0.0252752895940293
Total_Execution_Sec_max,36.0211213333333,36.3187088,-0.297587466666663,-0.819377881260643,0.251011160104984,0.0397075387183178,0.211303621386666,532.149884397614,35.627391,36.268685,-0.641293999999995,-1.76817549354214,35.830878,36.29019875,-0.459320750000003,-1.26568816325373,36.093407,36.3051485,-0.211741500000002,-0.583227197101266,36.176507,36.341309,-0.164801999999995,-0.453483940273023,36.378121,36.387318,-0.00919700000000034,-0.0252752895940293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.9275611586667,35.4956876621,0.431873496566671,,,,,,,,,,,,,,,,,,,,,,,,,
